Name,Quantity,"Price for one, $","Price, $","Weight per, g","Weight Total, g",Link
Liion NCR18650B 3400 mah,2,"$3,00","$6,00",48,96,https://a.aliexpress.com/_EzZZd77
Power supply SW6106PD 18W,1,"$2,50","$2,50","8,4","8,4",https://a.aliexpress.com/_ExzvksD
Magnet N52 8mm X 2mm,4,"$0,06","$0,24",4,16,https://a.aliexpress.com/_EjJNQiH
Contact 6pin,1,"$0,50","$0,50",4,4,https://a.aliexpress.com/_Eyr93X7
Case DIY,1,"$1,50","$1,50",20,20,
Сonsumable ( Solder + Wives),1,"$1,00","$1,00",4,4,
Bolts M3 L3,4,"$0,04","$0,16",1,4,
,,,,,,
Total USD,,,"$11,90","89,4","152,4",
Total UAH,,,"грн.476,00",,,
,,,,,,
,,,,,,
"Price for 3D printing per gram, USD","$0,08",,,,,
"Price for 3D printing per gram, UAH",3,,,,,
,,,,,,
USD/UAH,40,,,,,